year,Total-overseas-born,Total-Australian-born,Total-increased-population,state
2005,54870,-7420,47450,New South Wales
2006,59780,-6160,53620,New South Wales
2007,79480,-5910,73570,New South Wales
2008,94150,-6760,87390,New South Wales
2009,88860,-2120,86740,New South Wales
2010,59290,-2140,57150,New South Wales
2011,55120,-3440,51680,New South Wales
2012,60970,-3740,57230,New South Wales
2013,70700,-3930,66770,New South Wales
2014,73620,-6630,66990,New South Wales
2015,77550,-7240,70310,New South Wales
2016,87110,-7100,80010,New South Wales
2017,111000,-5490,105510,New South Wales
2018,96590,-6770,89820,New South Wales
2005,41760,-4140,37620,Victoria
2006,48190,-3210,44980,Victoria
2007,66090,-3550,62540,Victoria
2008,77580,-4010,73570,Victoria
2009,83770,-150,83620,Victoria
2010,54370,-690,53680,Victoria
2011,46650,-2010,44640,Victoria
2012,57650,-1470,56180,Victoria
2013,61340,-2310,59030,Victoria
2014,61280,-4370,56910,Victoria
2015,66410,-5710,60700,Victoria
2016,77250,-5030,72220,Victoria
2017,94430,-3180,91250,Victoria
2018,89640,-4580,85060,Victoria
2005,30080,-3370,26710,Queensland
2006,35530,-2800,32730,Queensland
2007,47240,-1090,46150,Queensland
2008,55880,-1960,53920,Queensland
2009,59540,-220,59320,Queensland
2010,35880,-50,35830,Queensland
2011,35840,-1200,34640,Queensland
2012,47670,-1120,46550,Queensland
2013,43530,-1690,41840,Queensland
2014,31200,-3980,27220,Queensland
2015,25600,-5160,20440,Queensland
2016,29150,-4190,24960,Queensland
2017,37210,-3130,34080,Queensland
2018,31840,-3170,28670,Queensland
2005,9500,-950,8550,South Australia
2006,12300,-430,11870,South Australia
2007,15010,-380,14630,South Australia
2008,15880,-550,15330,South Australia
2009,17660,350,18010,South Australia
2010,14560,-20,14540,South Australia
2011,9500,-320,9180,South Australia
2012,12790,-420,12370,South Australia
2013,12100,-410,11690,South Australia
2014,12280,-630,11650,South Australia
2015,12190,-1040,11150,South Australia
2016,12220,-930,11290,South Australia
2017,12840,-660,12180,South Australia
2018,13280,-600,12680,South Australia
2005,20700,-1510,19190, Western Australia
2006,26550,-1040,25510, Western Australia
2007,32510,-1130,31380, Western Australia
2008,42170,-990,41180, Western Australia
2009,44210,120,44330, Western Australia
2010,29220,-340,28880, Western Australia
2011,36660,-230,36430, Western Australia
2012,51620,-830,50790, Western Australia
2013,43050,-900,42150, Western Australia
2014,21510,-2760,18750, Western Australia
2015,16940,-2860,14080, Western Australia
2016,14910,-3290,11620, Western Australia
2017,14640,-2630,12010, Western Australia
2018,15060,-2250,12810, Western Australia
2005,1400,-160,1240,Tasmania
2006,1450,-100,1350,Tasmania
2007,1630,-180,1450,Tasmania
2008,1920,-80,1840,Tasmania
2009,2060,70,2130,Tasmania
2010,1660,20,1680,Tasmania
2011,1040,-40,1000,Tasmania
2012,1620,-90,1530,Tasmania
2013,1710,-90,1620,Tasmania
2014,1830,-20,1810,Tasmania
2015,1750,-220,1530,Tasmania
2016,1850,-80,1770,Tasmania
2017,2460,-110,2350,Tasmania
2018,2680,-100,2580,Tasmania
2005,1190,-180,1010,Northern Territory
2006,910,-260,650,Northern Territory
2007,1170,-10,1160,Northern Territory
2008,1790,-160,1630,Northern Territory
2009,2110,0,2110,Northern Territory
2010,1360,-130,1230,Northern Territory
2011,1350,-250,1100,Northern Territory
2012,3430,-100,3330,Northern Territory
2013,4420,-60,4360,Northern Territory
2014,1960,-210,1750,Northern Territory
2015,2500,-140,2360,Northern Territory
2016,1280,-230,1050,Northern Territory
2017,2040,-190,1850,Northern Territory
2018,1250,-400,850,Northern Territory
2005,1750,-930,820, Australian Capital Territory
2006,1860,-700,1160, Australian Capital Territory
2007,2450,-510,1940, Australian Capital Territory
2008,3200,-670,2530, Australian Capital Territory
2009,3920,-310,3610, Australian Capital Territory
2010,3330,-240,3090, Australian Capital Territory
2011,2340,-600,1740, Australian Capital Territory
2012,4190,-170,4020, Australian Capital Territory
2013,3320,-400,2920, Australian Capital Territory
2014,3480,-760,2720, Australian Capital Territory
2015,4100,-600,3500, Australian Capital Territory
2016,3830,-490,3340, Australian Capital Territory
2017,4590,-440,4150, Australian Capital Territory
2018,5140,-340,4800, Australian Capital Territory
