SACC code(a),Country of birth,Australia,latitude,longitude
1201,New Zealand,568170,-36.848461,174.76
1301,New Caledonia,1590,-20.9043045,165.618042
1302,Papua New Guinea,34260,6,147
1303,Solomon Islands,2360,8,159
1304,Vanuatu,1400,-16.63333,168.01667
1501,Cook Islands,8140,-15,-161
1502,Fiji,73970,-17.713371,178.065033
1505,Samoa,28820,13.5,171.44
1508,Tonga,11980,-21.178986,-175.198242
2102,England,1002060,51.509865,-0.118092
2104,N'thern Ireland,26730,54.607868,-5.926437
2105,Scotland,137760,56.071739,-3.452151
2106,Wales,32360,53.2,1.16
2108,Jersey,1380,49.214439,-2.13125
2201,Ireland,88020,53.35014,-6.266155
2301,Austria,17470,48.210033,16.363449
2302,Belgium,7370,51.260197,4.402771
2303,France,37470,48.864716,2.349014
2304,Germany,116700,52.520008,13.404954
2308,Netherlands,78670,52.370216,4.895168
2311,Switzerland,14160,46.204391,6.143158
2401,Denmark,10130,55.676098,12.568337
2403,Finland,9050,60.192059,24.945831
2406,Norway,4390,59.911491,10.757933
2407,Sweden,11640,59.334591,18.06324
3104,Italy,195760,43,12
3105,Malta,43020,35.917973,14.409943
3106,Portugal,19130,38.736946,-9.142685
3108,Spain,18090,40.416775,-3.70379
3201,Albania,3530,41.327953,19.819025
3202,Bosnia/Herzegov,36060,43.54,17.4
3203,Bulgaria,4010,42.698334,23.319941
3204,Croatia,60170,45.815399,15.966568
3205,Cyprus,19690,35.095192,33.20343
3206,North Macedonia,49680,41.5,22
3207,Greece,113420,37.98381,23.727539
3208,Moldova,1160,47.00367,28.907089
3211,Romania,16970,44.439663,26.096306
3212,Slovenia,8000,46.056946,14.505751
3214,Montenegro,2070,42.442574,19.268646
3215,Serbia,33380,44.787197,20.457273
3216,Kosovo,1470,42.667542,21.166191
3301,Belarus,2230,51.7905,23.68775
3302,Czechia,13110,50.08804,14.42076
3303,Estonia,3450,59.436962,24.753574
3304,Hungary,20790,47.497913,19.040236
3305,Latvia,4840,56.52,24.36
3306,Lithuania,3440,54.687157,25.279652
3307,Poland,53670,52.237049,21.017532
3308,Russia,26490,55.751244,37.618423
3311,Slovakia,6790,48.67,19.69
3312,Ukraine,17180,50.26,30.31
4101,Algeria,1640,28,3
4102,Egypt,45220,31.205753,29.924526
4103,Libya,2870,32.885353,13.180161
4104,Morocco,2240,33.589886,-7.603869
4105,Sudan,19140,15.564836,32.529831
4111,South Sudan,8430,4.859363,31.571251
4201,Bahrain,1820,26,50.33
4203,Iran,66150,35.715298,51.404343
